,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count
4470,34741919,2019-05-15,4,1,1,1,1,1,0,3,53.2961,-6.38282,37,2,2.0,4,1.0,2.0,6164,120.0,2.0,31.0,47.0,17.0,2.0,2019-05-26,4.78,4.93,4.63,5.0,4.98,4.65,4.85,0,2.0,0.0,2.0,0.0,1.17,1215.0,2,3,4,695
4471,34749708,2014-07-26,1,4,3,0,1,1,1,0,53.28426,-6.14047,37,2,2.0,5,1.0,1.0,3281,60.0,2.0,14.0,55.0,0.0,0.0,2019-05-28,4.95,4.93,4.98,4.98,5.0,4.95,4.89,1,2.0,1.0,1.0,0.0,1.37,2969.0,2,3,5,461
4472,34768412,2019-05-15,4,1,3,0,1,1,1,1,53.35372,-6.26873,17,0,7.0,7,2.0,5.0,5018,400.0,1.0,180.0,7.0,0.0,0.0,2019-06-22,5.0,5.0,5.0,5.0,5.0,4.86,5.0,1,8.0,8.0,0.0,0.0,0.18,1215.0,2,0,7,396
4473,34779611,2019-05-16,1,4,3,0,1,1,1,1,53.34263,-6.29425,44,2,2.0,4,1.0,1.0,472,75.0,1.0,1125.0,6.0,0.0,0.0,2019-06-16,4.83,5.0,4.83,5.0,5.0,5.0,4.83,1,1.0,0.0,1.0,0.0,0.15,1214.0,2,3,4,235
4474,34785846,2019-05-16,4,1,1,1,5,1,1,1,53.34043,-6.26526,16,0,7.0,7,4.0,5.0,5321,417.0,2.0,1125.0,133.0,66.62614730882797,7.1321923032480665,2019-05-27,4.87,4.9,4.92,4.84,4.98,4.99,4.74,0,1.0,1.0,0.0,0.0,3.31,1214.0,1,0,7,439
4475,34797287,2016-07-23,4,1,3,1,1,1,1,2,53.38904,-6.07265,16,0,4.0,7,2.0,2.0,5370,180.0,2.0,30.0,158.0,65.0,7.1321923032480665,2019-06-02,4.84,4.89,4.8,4.94,4.96,4.97,4.72,0,1.0,1.0,0.0,0.0,3.96,2241.0,2,0,7,465
4476,34799980,2019-05-15,4,1,3,0,1,1,1,1,53.35336,-6.26858,16,0,6.0,7,2.0,4.0,5151,525.0,1.0,180.0,28.0,2.0,2.0,2019-08-04,4.89,4.89,4.96,4.86,4.71,4.89,4.75,1,8.0,8.0,0.0,0.0,0.74,1215.0,2,0,7,443
4477,34800427,2019-05-15,4,1,3,0,1,1,1,1,53.35169,-6.27054,16,0,6.0,7,2.0,4.0,5152,400.0,1.0,180.0,9.0,0.0,0.0,2019-10-30,4.67,4.44,4.78,4.89,4.89,4.67,4.67,1,8.0,8.0,0.0,0.0,0.26,1215.0,2,0,7,429
4478,34802119,2019-05-15,4,1,3,0,1,1,1,1,53.35165,-6.2705,16,0,5.0,7,2.0,3.0,5151,400.0,1.0,180.0,25.0,0.0,0.0,2019-07-10,4.92,4.96,5.0,4.92,4.92,4.76,4.84,1,8.0,8.0,0.0,0.0,0.65,1215.0,2,0,7,443
4479,34803323,2019-05-15,4,1,3,0,1,1,1,1,53.35166,-6.27036,16,0,5.0,7,2.0,3.0,5151,400.0,1.0,180.0,9.0,0.0,0.0,2019-07-14,4.89,4.78,5.0,4.89,4.89,4.89,4.78,1,8.0,8.0,0.0,0.0,0.23,1215.0,2,0,7,443
